id,name,org
2973323668,Pericles Loucopoulos,MSM Decision Sciences
2137000881,Donald E. Knuth,"California Institute of Technology, USA,"
2980074422,Josep Díaz,universitat Politecnica de Catalunya
699581604,Silvio Micali,"MIT, CSAIL"
2001749418,Jan Camenisch,"Dept. of Comput. Sci., ETH Zurich, Zürich, Switzerland"
2600879665,T. C. Tan,National University of Singapore
2444423396,Ross A. Overbeek,"Argonne National Laboratory, Argonne IL"
2335882920,Ricardo Caferra,LIFIA-IMAG 46
2012163064,Clifford Brunk,"Department of Information and Computer Science, University of California, Irvine, Irvine, CA 92717 pazzani, cmerz, pmurphy, ali, hume"
2123449190,Javier Esparza,"Institut für Informatik, Technische Universität München, Arcisstrasse 21, D-80290 München, Germany, DE"
2116800970,Alistair G. Sutcliffe,City University
249014504,Thomas J. Wollinger,Ruhr Universität Bochum Germany
2622048205,Scott C. McIntyre,
420267153,Thomas Eiter,TU WIEN
275307801,Pentti Marttiin,University of Jyväskylä**
2163159803,T. von Büren,
2149341496,Shih-Fu Chang,"Columbia University, NEW YORK, NY"
2707669703,David Vandevoorde,Edison Design Group
2261167843,V. S. Subrahmanian,
2242565243,Sam Meder,"Mathematics and Computer Science Division, Argonne National Laboratory, Argonne, IL."
2717071272,Nicholas L. Ball,
171983298,Charles Consel,Université paris
2092095195,Paulo S. L. M. Barreto,Escola Politecnica - Universidade de SÃo Paulo - SÃo Paulo - SP - Brazil
2234013788,Antónia Lopes,University of Lisbon
270949118,Wil M. P. van der Aalst,"Eindhoven University of Technology, Faculty of Technology and Management"
1761527810,Joseph L. Schofer,
2160064358,Blake Ives,
151602525,D. Jonscher,"Univ. Zu¨rich, Zu¨rich, Switzerland#TAB#"
2156234885,Christian Bauer,"(Christian Bauer (bauerc@cbs.curtin.edu.au) is at Electronic Commerce Network, Curtin University of Technology, Perth, Western Australia.)"
2236397478,Katsumi Inoue,Toyohashi Univ. of Technology
2339798781,Craig Gentry,DoCoMo Labs
2136822424,Patrick E. O'Neil,Computer Corporation of America 4 Cambridge Center
2246046809,T. Nakajima,"Japan Advanced Institute of Science and                     Technology, Ishikawa, Japan"
2683884791,Marie-Hélène Skubiszewska,Universite Paris-Sud#TAB#
2062283694,Robert H. Deng,National University of Singapore
2780703061,Nick Gotts,"University of Aberdeen, King’s College"
2087987499,P. Samarati,"Dipartimento di Tecnologie dell’Informazione, Universitá di Milano, Crema, Italy"
528588921,Ricardo Baeza-Yates,"Center for Web Research, Department of Computer Science, Universidad de Chile,"
2127886682,Jay C. Ferguson,"Xerox Corp., Webster, NY."
2307956062,Douglas Terry,"Xerox, Parc (Palo Alto, CA)"
1967546095,Alex P. Pentland,"Vision and Modeling Group, The Media Lab, Massachusetts Institute of Technology, Cambridge,"
2238478694,Newton C. A. da Costa,University of São Paulo
290991845,R. Sunderraman,
2135853928,Michael T. Goodrich,"Univ. of California, Irvine, CA#TAB#"
2303738227,John Sterling,"New York Univ., New York NY"
374441298,Nuttapong Attrapadung,"Institute of Industrial Science*, University of Tokyo, Japan"
2040079410,Mark S. Manasse,Systems Research Center
2155118037,M. Merritt,
2972397140,R. Peralta,"Tel‐Aviv University ,"
20849977,Ursula Goltz,RWTH Aachen
2020138198,Peter Buneman,University of Pennsylvania
2159832001,Bernard Carré,Université des Sciences et Technologies de Lille
2146028162,Joachim Herbst,"Dept. REI/ID, DaimlerChrysler AG Research and Technology, Germany#TAB#"
2153048187,Charles G. Boncelet,"University of Delaware,"
2039811654,Thomas Judd,Bellcore
2138176809,Terry Moore,"Innovative Computing Laboratory, Department of Computer Science, University of Tennessee, Knoxville, TN 37996, USA"
2165599877,Xian-Sheng Hua,"Microsoft Res., Asia, Beijing, China"
64760803,Peter F. Patel-Schneider,
2121733067,Jianguo Lu,"Computer Science Department, University of Toronto, Canada jglu@cs.toronto.edu#TAB#"
671527850,Jennifer Widom,"Stanford University, Stanford CA 94305, USA#TAB#"
2226135823,Jean-Marc Petit,Universite Blaise Pascal#TAB#
2778616263,Gregoris Tziallas,Hitec Ltd
2080458430,Arnon Rosenthal,"The MITRE Corporation,#TAB#"
2984079129,Peter Z. Kunszt,European Organization For Nuclear Research
1989269690,Bernhard Nebel,"German Research Center for AI (DFKI), Saarbrücken, Germany"
2974509920,G. Moore,"University of British Columbia, #TAB#"
2126319880,Ramarathnam Venkatesan,"Microsoft Research,#TAB#"
2046925394,M J Plasmeijer,University of Nijmegen
2580896368,Jerry Wooton,
2121641969,Robert Davison,"Department of Information Systems, City University of Hong Kong, Tat Chee Avenue, Kowloon, Hong Kong, China#TAB#"
2116800970,A.G. Sutcliffe,"Dept. of Bus. Comput., City Univ., London, UK"
27022033,Yiannis Tsiounis,GTE Laboratories
294360276,M. Yannakakis,
1972455794,John Proos,"University of Waterloo,#TAB#"
2313237686,Carlos Domingo,"Department of Mathematical and Computing Science, Tokyo Institute of Technology, Meguro-ku, Ookayama, 152-8522 Tokyo, Japan. carlos@is.titech.ac.jp#TAB#"
1983377317,W. Jonker,Databases (Former)
2124463096,Magnus Ramage,"Lancaster University, UK"
421534652,Mary Jean Harrold,"Georgia Inst of Tech, Atlanta, GA"
2780628958,Jee Hea An,"SoftMax, Inc."
2030714940,Pierre America,"Philips Research Laboratories , Eindhoven, The Netherlands"
2304619042,José Júlio Alferes,"DM, U. Évora and CITIA"
1032039832,Jean Marc Couveignes,Université de Bordeaux;
2008316776,Sean Bechhofer,University of Manchester
307687659,E. Kushilevitz,
2156495138,S. Purushothaman Iyer,North-Carolina State University
147005284,Hardi Hungar,OFFIS#TAB#
2112794742,Elisabeth Oswald,Graz University of Technology
12112317,S.S. Cosmadakis,
2148262072,John Harrison,"Intel Corporation, JF1-13, Hillsboro, USA 97124#TAB#"
281738054,Jakub Zavrel,"ILK / Computational Linguistics, Tilburg University, P.O. Box 90153, NL-5000 LE Tilburg, The Netherlands. [email protected]#TAB#"
2030828791,Florian Matthes,"University of Hamburg,"
2097850966,Xinpeng Zhang,Shanghai#N#                            University
1509630456,P. M. Melliar-Smith,"Department of Electrical and Computer Engineering, University of California, Santa Barbara, California, 93106, f1E-mail: moser@ece.ucsb.eduf1"
2096032652,Mark Goldberg,"CS Department, RPI, Troy, NY#TAB#"
1993444766,Ahmed Seffah,"Human-Centered Software Engineering Group, Concordia University, Montreal, Canada H3G 1M8#TAB#"
2120879532,Peter GjØl Jensen,"Department of Computer Science, Aalborg University, Aalborg East, Denmark#TAB#"
2343099201,Shamin A. Naqvi,Bell-Labs
2304170566,Laurent Mazaré,"VERIMAG, Gières, France#TAB#"
2285891762,Alexander Klimov,"Dept. of Appl. Math. & Cybernetics, Moscow State University, Moscow, Russia#TAB#"
2111410040,Monica Pellegrinelli,University of Genova
2493536557,Wendy Johnston,"School of ITEE, University of Queensland, Brisbane (St.Lucia), Australia#TAB#"
2849313075,M.M. Erhioui,
2309638431,Jacobo Torán,"Facultat d'Informatica, Barcelona, Spain#TAB#"
279110217,Thomas Kunkelmann,Darmstadt Univ. of Technology#TAB#
2632413065,P. Farshim,"Dept. of Computer Science, University of Bristol, Bristol, United Kingdom"
288349726,Christopher A. Welty,VASSAR COLLEGE
328972520,Yair Wand,"University of British Columbia, #TAB#"
2894036560,Parke Godfrey,University of Maryland
737098973,Henry M. Levy,"University of Washington,"
2665843561,Hisao Tamaki,Ibaraki University
2153945177,Chris J. Myers,"University of Utah ,"
2630099799,D. Sivakumar,"Department of Computer Science, University of Houston, Houston, TX"
2174485742,B.S. Manjunath,"University of California, Santa, Barbara"
2308089301,Yu Andy Wu,
2923479089,Thomas Baar,"University of Karlsruhe, Institute for Logic"
2112794742,Elisabeth Oswald,"A-SIT Secure Information Technology Center – Austria, Graz, Austria#TAB#"
2655942748,G. Mendez,
2085963908,Xuejia Lai,Swiss Federal Institute of Technology Zurich
2129477832,Edmund M. Clarke,"Carnegie Mellon University, Pittsburgh, PA, U.S.A.; E-mail: edmund.clarke@cs.cmu.edu#TAB#"
2169754111,Animesh Nandi,Rice University
2154115838,Micha Sharir,"School of Mathematical Sciences Tel Aviv University, Tel Aviv, Israel"
1365520453,Natasha Sharygina,Carnegie - Mellon University#TAB#
2788476507,Ernest F. Brickell,Bell Communications Research#TAB#
211812777,N.K. Vishnoi,Nisheeth K. Vishnoi#TAB#
2984677931,Mary Jean Harrold,"College of Computing, Georgia Institute of Technology, Atlanta, GA 30332, U.S.A."
2108763669,Klaus Pohl,University of Essen
73615348,Ron Kohavi,"Computer Science Department, Stanford University Stanford, CA"
2102836602,Giuseppe Amato,Istituto di Elaborazione dell’Informazione – C.N.R.
2147829835,Soo-Min Kim,"USC/Inf. Sciences Institute, Marina del Rey, CA"
2124380882,Donald Beaver,AT&T Bell Lab.#TAB#
241606812,Alberto Belussi,"Dipartimento di Elettronica e Informazione, Politecnico di Milano, Milano, ITALY"
2061938730,W. M. P. Van Der Aalst,"Department of Mathematics and Computer Science, Eindhoven university of Technology, Eindhoven, The Netherlands"
2310087634,Makoto Amamiya,Nippon Telegraph and Telephone Public Corporation
2166150971,G. Lawrence Sanders,
1897045236,Jan Jürjens,
2780628958,Jee Hea An,University of california at San Diego
2082989258,Pablo A. Parrilo,"Automatic Control Laboratory, Swiss Federal Institute of Technology (ETH), CH-8092 Zurich, Switzerland, e-mail: parrilo@aut.ee.ethz.ch, CH"
2170553344,Sunder Kekre,Carnegie - Mellon University#TAB#
127429266,Doron A. Peled,AT&T Bell Lab.#TAB#
2633541573,Marcia A. Derr,
2097349350,Jacques Stern,Département d’Informatique
2157110538,S. Krishnan,"Dept. of Comput. Sci., Illinois, Univ., Urbana, IL, USA#TAB#"
2777917224,George Copeland,Servio Logic Corporation
180789617,E. Clementini,"Dip. di Ingegneria Elettr., Aquila Univ., Italy"
350567680,Robert Endre Tarjan,University of Wisconsin-Madison
2100039332,Brice Morin,"IRISA/INRIA Rennes, Equipe Triskell, Rennes Cedex, France"
279527084,Gerhard Köstler,Universität Augsburg
2104828423,Erik Rosenthal,State University of New York at Albany
2536104631,Raffaele Esposito,"RCOST, Research Centre on Software Technology, University of Sannio, Benevento, Italy"
2788541702,Michael R. Fehling,"Rockwell International Science Center, Palo Alto Laboratory, 444 High Street, Palo Alto, CA 94301"
2165890396,Jing Bai,"Université de Montréal, Montreal, Québec, Canada#TAB#"
2122007671,Dan Roth,"Department of Computer Science and the Beckman Institute, University of Illinois, Urbana, IL#TAB#"
315218582,Marina Mongiello,"Politecnico di Bari, Via Re David, 200, 70125 BARI, Italy"
2145011396,Wei-Pang Yang,"Institute of Computer and Information Science, National Chiao Tung University, Hsinchu, Taiwan 300, R.O.C."
2236112217,James Brooks,
2135853928,Michael T. Goodrich,"Dept. Computer Science, Univ. of California, Irvine#TAB#"
1939815468,Fazle Rabbi,"Centre for Logic and Information, St. Francis Xavier University, Antigonish, Canada"
1993763701,Vibha Sazawal,"University of Washington,"
2018572496,Tzilla Elrad,Illinois Institute of Technology;
2109880167,Paul Montague,Motorola Australia Software Centre
2136435442,Xiaomeng Su,"Dept. of Comput. & Inf. Sci., Norwegian Univ. of Sci. & Technol., Trondheim, Norway#TAB#"
2130219136,Yang Cui,"Institute of Industrial Science, Univ, of Tokyo"
2109123731,David Wagner,"University of California - Berkeley, Berkeley, USA CA 94720#TAB#"
2560974151,Robert M. Daniels,"University of South Alabama ,"
2154094381,Yuri Gurevich,"Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, Michigan 48109 USA"
2166695995,Stephen R. Tate,"Department of Computer Science, University of North Carolina at Greensboro, Greensboro, NC#TAB#"
2427477170,Fred D. Davis,"Computer and Information Systems, Graduate School of Business Administration, University of Michigan, Ann Arbor, Michigan"
217115419,Arevalo,"Department of Electronic Engineering, Universidad Distrital"
4960438,Daniel Bleichenbacher,Bell-Labs
234122163,Daniel Wichs,"Department of Computer Science, New York University,"
2109479117,W. F. Clocksin,"Computer Laboratory University of Cambridge, Cambridge, England"
1975388520,Roland Laqua,"Fraunhofer Institute for Experimental Software Engineering, (IESE), Sauerwiesen 6, D-67661 Kaiserslautern, Germany"
2116190212,Inger Klein,Linköping; University
2111484020,C. Ebeling,"Dept. of Comput. Sci. Washington Univ., Seattle, WA, USA"
2131749055,Yuji Matsumoto,"Nara Institute of Science and Technology, Nara#TAB#"
2121494764,Noyda Matos,IIIA - Artificial Intelligence Research Institute
2010516145,Chitta Baral,Univ. of Texas at El Paso#TAB#
2052877539,W. Derks,"KPN Res., Netherlands"
2667871518,Olivier Henri Roux,"IRCCyN, CNRS UMR 6597"
2164040783,Raghu Ramakrishnan,University of Wisconsin-Madison
2109123731,David A. Wagner,University of California
2037225537,Dagmar Schönfeld,"Technische Universität Dresden, Dresden, Germany."
236344266,Leonid Reyzin,"Boston University, Computer Science Department#TAB#"
2287115224,Kerry Raymond,DSTC PTY LTD
2109390351,Tim Sheard,Oregon Graduate Institute
2161153869,John Mylopoulos,"Department of Computer Science, University of Toronto, Canada"
177857792,Eric Filiol,"INRIA, projet CODES, Domaine de Voluceau"
10948935,Frank Puhlmann,"Business Process Technology Group, Hasso-Plattner-Institute for IT Systems Engineering, at the University of Potsdam, Potsdam, Germany#TAB#"
2115497899,Gritta Wolf,Dresden University of Technology
101071923,Robert W. Zmud,
672946669,Uriel Feige,"Department of Applied Mathematics, The Weizmann Institute, Rehovot, Israel"
686889575,Luca Bernardinello,Universita’ Degli Studi di Milano
2974492827,I. Pratt,
355909486,Prashant Palvia,
237419955,Hector Garcia-Molina,Princeton University *
2708145361,Robert A. Wagner,"System and Information Science Department, Vanderbilt University, Nashville, TN"
2679802719,Joel E. Sachs,"The MITRE Corporation,#TAB#"
2303257373,Vladislav Shkapenyuk,AT&T Labs — research
2194520597,Philippe Darondeau,Campus de Beaulieu
2974015693,R. Fischlin,"Fachbereich Mathematik/Informatik, Universität Frankfurt, Frankfurt, Main, Germany#TAB#"
2104856117,Matthew Díaz,the Johns Hopkins University
2799196804,Fred Cohen,"Dept. of Computer Science and Electric Engineering, Lehigh University, Bethlehem, PA 18215, USA and The Foundation for Computer Integrity Research, Pittsburgh, PA 15217, USA#TAB#"
1409703486,Igor Kononenko,"University of Ljubljana, Slovenia;"
2113377157,Aleksei V. Fishkin,"Christian-Albrechts-Universität zu Kiel,"
1978273152,Cristiano Bertolini,UNU-IIST
2806003766,Brian G. Schunck,"Artificial Intelligence Laboratory, Massachusetts Institute of Technology, Cambridge, Ma.#TAB#"
2974298774,A.K. Ghosh,"Reliable Software Technol. Corp., Sterling, VA, USA"
6394251,Rainer A. Rueppel,Crypto AG
2029719710,Ramakant Nevatia,University of Southern California
2068596995,Ueli M. Maurer,
2921339358,S. Muthukrishnan,"AT&T Labs- Research, Florham Park, NJ"
2106088298,Felix A. Fischer,"Dept. of Informatics, Technical University of Munich"
2153689819,Craig C. Douglas,"Department of Computer Science, University of Kentucky, Lexington KY"
2827895415,Martin S. Feather,"USC/Information Sciences Institute, 4676 Admiralty Way, Marina del Rey, CA 90292, USA"
2973409695,H. Theiling,"Fachbereich Inf., Saarlandes Univ., Saarbrucken, Germany"
2155298472,G. Muller,Design and development of adaptive programs and systems
112579409,Inderpal Singh Mumick,AT&T Bell Lab.#TAB#
2268234549,Lawrence McNamee,UCLA
529361719,Paul Feautrier,"Univ. Paris VI, Paris, France"
2627263793,Reiner Hähnle,University of Karlsruhe#TAB#
2115493875,Jacques Patarin,Université de Versailles
2096332374,Y. Cui,"Dept. of Comput. Sci., Stanford Univ., CA, USA#TAB#"
2504758349,N. S. Borenstein,"Carnegie Mellon University, Pittsburgh Pa"
188655411,Kamyar Sarshar,"Lehrstuhl für Wirtschaftsinformatik und BWL, ISYM – Information Systems & Management, Johannes Gutenberg-University Mainz, Mainz, Germany"
2098047075,Andries Van Dijk,"Deloitte & Touche Management & ICT Consultants, Amstelveen, The Netherlands"
2139573819,M R Sleep,University of East Anglia
49797401,Michael Golm,UNIVERSITY OF ERLANGEN-NURNBERG
91397146,Mark Crovella,"Computer Science Department, Boston University, 111 Cummington Street, Boston, MA 02215, USA#TAB#"
2081631084,Josef Pieprzyk,Austarlian Defence Force Academy
2169735298,Arnold L. Rosenberg,"IBM Thomas J. Watson Research Center, Yorktown Heights, New York 10598, USA"
1237859792,Jovan Dj. Golic,"School of Electrical Engineering, University of Belgrade, Beograd, Yugoslavia"
2151028178,K. Gallagher,
1188065969,Joseph R. Kiniry,"Radboud University Nijmegen, the Netherlands"
1989269690,Bernhard Nebel,
722850541,Ira R. Forman,Microelectronics and Computer Technology Corp.
2105917313,Alice Silverberg,Ohio State University.
2271303423,F. W. Tompa,"University of Waterloo,#TAB#"
2167932487,J. Feigenbaum,"AT&T Bell Labs., Murray Hill., NJ, USA"
2130286701,P. Compton,St Vincent's Hospital
2111401235,Hui Li,the University of Queensland
1963734396,Dominik Birkmeier,"Component and Service Engineering Group, Business Informatics and Systems Engineering Chair, University of Augsburg, Augsburg, Germany"
2918375776,L. Gargano,UNIVERSITÀ DI SALERNO
2113298766,Torben P. Pedersen,"Aarhus University,"
1899568246,David K. Probst,<italic>Concordia University</italic>
2161933239,Paweł Górecki,"Institute of Informatics, University of Warsaw, Poland"
2305174373,Doug Whiting,"Hi/fn, Inc., 5973"
2344403096,Thomas Kreifelts,"Gesellschaft für Mathematik and Datenverarbeitung, Germany#TAB#"
41308867,T. Boczko,"MTA SZTAKI Lab. of Parallel and Distributed Systems, Hungary#TAB#"
2128783725,Tzonelih Hwang,"Institute of information Engineering, National Cheng Kung University, Tainan, Taiwan, R.O.C."
2244150349,Alfons Kemper,"Lehrstuhl für Informatik III, RWTH Aachen, D-5100 Aachen, Fed. Rep. Germany"
2124099490,R. E. Troop,"Hughes Aircraft Company, Fullerton, California"
699581604,Silvio Micali,"MIT Laboratory for Computer science, Cambridge, MA#TAB#"
2159933393,Amit Sahai,U.C.L.A.#TAB#
309463339,Amy Moormann Zaremski,Carnegie - Mellon University#TAB#
2489914071,Susan Thompson,Datacard platform 7seven
2076086827,Bernard Chazelle,Princeton University *
687553606,Ran Canetti,"IBM T.J. Watson Research Center, Yorktown Heights, New York#TAB#"
2215433766,Susan A. Brown,"Department of Management Information Systems , Eller College of Management, University of Arizona , Tucson, Arizona, USA"
2012810137,Jørgen F. Søgaard-Andersen,"Technical University of, Denmark"
2776624233,Karl Aberer,GMD-IPSI
2974677987,Nelson Heppel,
2576570037,Stuart G. Stubblebine,AT&T Labs — research
2973516409,Oliver Maffeïs,GMD I5 - SKS
2631920754,Andrei P. Ershov,USSR Academy of Sciences
419322352,Michael Rettelbach,Universität Erlangen-Nürnberg
1896382425,Goichiro Hanaoka,"Research Center for Information Security, National Institute of Advanced Industrial Science and Technology,"
2189474869,Peter Bogetoft,"Dept. of Economics, Copenhagen Business School,#TAB#"
2290566231,Peter Haase,"Institute AIFB, University of Karlsruhe, Germany#TAB#"
2119341871,Kristin J. Dana,"Dept. of Comput. Sci., Columbia Univ., New York, NY#TAB#"
324740313,Michael Sipser,"MIT, Cambridge, MA,"
1589418377,Ronald J. Watro,"The MITRE Corporation,#TAB#"
2339798781,Craig Gentry,"Stanford, University"
2107238361,Marc Girault,"Service d'Etudes communes des Postes et Télécommunications, Caen-Cedex, France#TAB#"
2169111505,Michael Schwartzbach,"Dept. of Computer Science, University of Aarhus"
1956093140,Eneko Agirre,"Euskal Herriko Universitatea, Donostia, Spain#TAB#"
2171343426,Amir Pnueli,Weizmann institute of Science
2633183048,Xian-Sheng Hua,"Microsoft Res., Asia, Beijing, China"
1968293503,Marc Despontin,"Vrije Universiteit Brussel, Brussel, Belgium,"
2030714940,Pierre America,Philips Res. Labs.
2476931875,Tsong-Li Wang,"New York Univ., New York#TAB#"
2473085291,H. Wang,Department of Information Systems
1207234522,George Savvides,"McGill University, Montéral, QC, Canada#TAB#"
2135689897,Ramin Hojati,
2345141441,Magdalena Balazinska,MIT — Laboratory for Computer Science
741014538,William H. Mangione-Smith,University of California
2071312613,Joy Algesheimer,(IBM Research)
2138923407,Melissa Chase,"Microsoft Research, , Redmond, WA , USA"
2974166705,F. Giannotti,"Univ. di Pisa, Pisa, Italy#TAB#"
2696467629,K. Kyu Kim,
91300927,Kriengkrai Porkaew,King Mongkut’s University of Technology at Thonburi
1237859792,Jovan Dj. Golic,University of Belgrade
2205954118,Moses Liskov,massachusetts institute of technology
152493642,Victor Vianu,Databases
677346422,R. Gaizauskas,"Department of Computer Science, University of Sheffield, Sheffield, UK e-mail: r.gaizayskas@dcs.shef.ac.uk#TAB#"
2152614272,Aurore Annichini,Centre Equation
2131229705,Brent Waters,University of Texas@Austin
574844396,Philip Resnik,"Department of Linguistics and Institute for Advanced Computer Studies, University of Maryland, College Park, MD#TAB#"
2003203017,Karin Palmkvist,Rational Software Scandinavia AB
700536811,Robert M. Colomb,the University of Queensland
2068596995,Ueli Maurer,"Department of Computer Science, ETH Zurich, Zurich, Switzerland, CH"
2682364181,Ivan Damgård,"University of Aarhus, BRICS"
2308055935,Amador Muriel,"Baruch College of The City Univ. of New York, New York, NY#TAB#"
152493642,Victor Vianu,University of California
2128411992,J. E. Savage,"Brown University, Division of Engineering, Providence, Rhode Island"
1994835762,Eric Ras,"Fraunhofer-Institute for Experimental Software Engineering, Kaiserslautern, Germany"
83376002,Gilles Audemard,ITC-IRST
2141782809,Gerti Kappel,University of Linz
2125104194,Philip S. Yu,"Univ. of Illinois at Chicago, Chicago, IL."
2232099301,Panzieri,
2117127927,Brad A. Myers,"School of Computer Science, Carnegie Mellon University, 5000 Forbes Ave, Pittsburgh, PA"
2159832001,Bernard Carré,"Laboratoire d’Informatique Fondamentale de Lille, UMR CNRS 8022 – INRIA Jacquard Project, Université des Sciences et Technologies de Lille, Villeneuve d’Ascq, France#TAB#"
2076287263,J. Haddon,"Div. of Comput. Sci., California Univ., Berkeley, CA, USA#TAB#"
2113298766,Torben P. Pedersen,"Department of Comp. Sci., Aarhus University, Ny Munkegade, Århus C, Denmark#TAB#"
2170666093,D. Low,University of Auckland; .
2105519583,Robert A. Snowdon,University of Manchester
2942557584,Stephen C. Hayne,"School of Management, Arizona State University West, 4701 W. Thunderbird Rd, Phoenix, AZ, 85069-7100, USAf1hayne@asu.eduf1#TAB#"
1989248398,Néstor Cataño,"INRIA Sophia-Antipolis, France"
2696002469,Ian K. Kirby,"University of Aberdeen, King’s College"
2191173505,François Noël,Université de Rennes/Irisa Campus Universitaire de Beaulieu
2072803220,Bernard Gibaud,"Laboratoire IDM, UPRES-EA, Faculté de Médecine, Rennes Cedex, France#TAB#"
1867938658,Lotfi Lakhal,Université Blaise Pascal (Clermont-Ferrand II
2974281575,T Beth,
2123791372,Jörg Dahmen,RWTH Aachen - University of Technology#TAB#
2123165094,Prahladh Harsha,mit
1994841207,Mirko Vintar,"University of Ljubljana, Ljubljana, Slovenia."
2310402321,Roberto J. Mejias,
65538393,Oded Goldreich,"Department of Computer Science and Applied Mathematics, Weizmann Institute of Science, Rehovot, Israel oded@wisdom.weizmann.ac.il, IL"
44897255,Nada Lavrac,"Jozef Stefan, Institute Jamova 39, 61000 Ljubljana, Yugoslavia"
1971187209,William Aiello,ATT Labs. Research
174128570,Håvard Raddum,"Dept. of Informatics, The University of Bergen, Bergen, Norway"
2130864875,Pamela W. Jordan,", University of Memphis"
2669774865,Elena Fersman,", Uppsala University,"
2983086238,Erich J. Neuhold,GMD-IPSI
2665572972,F. Boyer,"IMAG, Grenoble, France"
2555922869,Tomasz Imeilinski,"Rutgers UNiv., New Brunswick, NJ#TAB#"
2080458430,A. Rosenthal,Computer Corporation of America
662324193,Peter Niebert,"CMI, Universite de Provence"
2117267428,A. Ghafoor,"School of Electrical Engineering , Purdue University, West Lafayette, USA"
2105917313,Alice Silverberg,"Department of Mathematics, Irvine, UC#TAB#"
220887178,Guglielmo Morgari,"Rome CryptoDesign Center, Gemplus"
2139352357,S. Graf,VERIMAG
2126821500,Maria Luisa Villani,"RCOST, Research Centre on Software Technology, University of Sannio, Benevento, Italy"
2116419005,Neil D. Jones,
2286190117,Ulrike Langrehr,University of Karlsruhe#TAB#
350711484,Hans Toetenel,Delft University of Technology
2299678365,Carol Peters,"Istituto di Elaborazione della Informazione, Consiglio Nazionale delle Ricerche, Pisa, Italy"
2776348112,Sjaak Brinkkemper,"University of Twente, Dept. of Computer Science, P.O. Box 217, 7500 AE Enschede, The Netherlands"
2980545556,Flavio Bonfatti,Universitá di Bologna
2137924390,John T. O’Donnell,#N#University of Glasgow#N#
1994860295,Ekkart Kindler,Humboldt-UniversitäT Zu Berlin
2949101157,Jürg Wullschleger,"University of Bristol Bristol, United Kingdom"
45528909,Alexander Leitsch,Technische Universität Wien
2035163501,Radha Jagadeesan,Loyola University-Lake Shore Campus
153700510,Peter Dadam,"Dept DBIS, University of Ulm, Germany#TAB#"
2120202076,I.D. Reid,"Dept. of Eng. Sci. Oxford Univ., UK"
2186162728,Burkhard Freitag,Univ. of Passau
2305132880,Christian Grothoff,Purdue University
2165400638,Manabu Okumura,Precision and Intelligence Laboratory; Tokyo Institute of Technology; Yokohama Japan
2161727364,Eric J. Pauwels,Katholieke Universiteit Leuven
2123599481,Anindya Banerjee,"Xinotech Research, Minneapolis, MN"
2114905728,Julie E. Kendall,"School of Business-Camden, Rutgers University Camden, New Jersey#TAB#"
2142246817,Simon Peyton Jones,#N#University of Glasgow#N#
2108456445,Ante Derek,"Computer Science Department, Stanford University, Stanford, CA"
1995003537,S. Parker,
2618025618,David Goldberg,"Xerox, Parc (Palo Alto, CA)"
